,id,Title,Episode,Season,character_names,Total Spoken Words,number of scene changes,Sarcasm Index,Emotional Archetype,vote_average,holiday_episode,director_popularity,writer_popularity,Joey_Rachel_Monica_Chandler_itemset,Rachel_Ross_Monica_Chandler_itemset,Joey_Phoebe_Monica_Chandler_itemset,Joey_Ross_Monica_Chandler_itemset,Rachel_Phoebe_Monica_Chandler_itemset,Joey_Rachel_Phoebe_Chandler_itemset,Joey_Rachel_Ross_Chandler_itemset,Joey_Ross_Phoebe_Chandler_itemset,Ross_Phoebe_Monica_Chandler_itemset,Joey_Rachel_Phoebe_Monica_itemset,sentiment,Ross_spoken_words,Rachel_spoken_words,Chandler_spoken_words,Monica_spoken_words,Phoebe_spoken_words,Joey_spoken_words,Central Perk_occurrences,Monica's Apartment_occurrences,Ross's Apartment_occurrences,Chandler's Apartment_occurrences,Ralph Lauren_occurrences,Bloomingdales_occurrences,Phoebe's Apartment_occurrences
29,86121, The One With The Baby On the Bus,6,2,"['Terry', '2', 'Stephanie', '1']",2639,15,0.25,Uncharted,8.333,1,2.1565,0.694,0,0,0,0,0,0,0,0,0,0,0.0263963105028887,364,268,374,312,509,339,6,0,0,0,0,0,0
30,86129, The One Where Ross Finds Out,7,2,"['Waiter', 'Julie', 'Michael']",2644,12,0.5714285714285714,Uncharted,8.714,0,2.7455,1.388,0,0,0,0,0,0,0,0,0,0,0.0669836516271534,416,901,390,154,402,162,3,1,0,0,0,0,0
31,86098, The One With The List,8,2,"['two', 'MNCA', 'CHAN', 'one', 'six', 'four', 'JOEY', 'RACH', 'three', 'ROSS']",2636,13,0.5714285714285714,Uncharted,8.15,0,5.837,4.7685,0,0,0,0,0,0,0,0,0,0,0.0541134733322233,0,0,0,0,0,0,2,5,1,2,0,0,0
32,86230, The One With Phoebe's Dad,9,2,"['TREEGER', 'ROSS']",2746,12,0.5,Uncharted,7.829,0,1.5755,2.917,0,0,0,0,0,0,0,0,0,0,0.0992374225725754,0,0,1,0,0,0,1,6,0,0,0,0,0
33,86131, The One With Russ,10,2,"['MNCA', 'CHAN', 'RACH', 'ESTL', 'RUSS', 'ROSS']",2742,9,0.625,Uncharted,8.0,1,1.802,2.744,0,0,0,0,0,0,0,0,0,0,0.0237972951085195,0,0,0,0,0,0,3,1,1,2,0,0,0
34,86102, The One With The Lesbian Wedding,11,2,"['WALLACE', 'ROSS', 'CAROL']",2684,0,0.75,Uncharted,8.125,0,1.802,0.621,0,0,0,0,0,0,0,0,0,0,0.0763025309310032,0,0,0,0,0,0,0,0,0,0,0,0,0
35,86132,The One After the Superbowl (1),12,2,"['JANITOR', 'ROB']",5198,28,0.5,Uncharted,8.333,0,4.138,1.388,0,0,0,0,0,0,0,0,0,0,0.1015488160073412,0,0,0,0,0,0,5,2,1,3,0,0,0
36,4537938,The One After the Superbowl (2),13,2,"['JANITOR', 'ROB']",5198,28,0.5,Uncharted,8.286,0,6.644,1.388,0,0,0,0,0,0,0,0,0,0,0.1015488160073412,0,0,0,0,0,0,5,2,1,3,0,0,0
37,86097, The One With The Prom Video,14,2,"['MONICA', 'ROSS', 'ROY', 'GAIL']",2941,11,0.375,Uncharted,9.0,0,3.7175,1.388,0,0,0,0,0,0,0,0,0,0,0.1020388726919339,0,0,0,0,0,0,3,5,0,2,0,0,0
38,86134, The One Where Ross and Rachel...You Know,15,2,"['ROSS', 'JOEY']",2369,15,0.75,Uncharted,8.575,0,4.138,1.601,0,0,0,0,0,0,0,0,0,0,0.0689496400338791,0,0,0,0,0,0,0,2,0,6,0,0,0
39,87700, The One Where Joey Moves Out,16,2,"['ROSS', 'FRIEND']",2761,16,0.4444444444444444,Uncharted,8.513,0,4.138,0.694,0,0,0,0,0,0,0,0,0,0,0.1222571846637267,0,0,0,0,0,0,0,2,0,5,0,0,0
40,86157, The One Where Eddie Moves In,17,2,"['ROSS', 'EDDIE']",2414,15,0.7,Uncharted,8.27,0,4.138,2.15,0,0,0,0,0,0,0,0,0,0,0.0844182032556288,0,0,0,0,0,0,4,3,0,5,0,0,0
41,1007805, The One Where Dr. Remoray Dies,18,2,"['ROSS', 'INTERCOM', 'EDDIE']",2566,15,0.5,Uncharted,8.077,0,4.138,1.788,0,0,0,0,0,0,0,0,0,0,0.1606719342085196,0,0,0,0,0,0,2,5,0,5,0,0,0
42,86184, The One Where Eddie Won't Go,19,2,"['ROSS', 'ESTELLE', 'EDDIE']",2713,15,0.7,Uncharted,8.359,0,4.138,1.601,0,0,0,0,0,0,0,0,0,0,0.0847029588467088,0,0,0,0,0,0,4,2,0,4,0,0,0
43,86207, The One Where Old Yeller Dies,20,2,"['ROSS', 'CAROL', 'BEN']",3136,11,0.4,Uncharted,8.026,0,4.138,2.15,0,0,0,0,0,0,0,0,0,0,0.1516047008547008,0,0,0,0,0,0,2,6,2,1,0,0,0
44,86210, The One With The Bullies,21,2,"['ROSS', 'BULLY']",2738,13,0.6363636363636364,Uncharted,8.026,0,4.138,0.72,0,0,0,0,0,0,0,0,0,0,0.0466366769195716,0,0,0,0,0,0,4,4,0,1,0,0,0
45,86212, The One With The Two Parties,22,2,"['ROSS', '1']",2621,7,0.3,Uncharted,8.658,0,4.138,1.388,0,0,0,0,0,0,0,0,0,0,0.1376395138107736,0,0,0,0,0,0,1,2,0,0,0,0,0
46,1007806, The One With The Chicken Pox,23,2,"['DOUGLAS', 'ROSS', 'PHOEBE']",2538,14,0.1818181818181818,Rags to Riches,8.103,0,4.138,0.6,0,0,0,0,0,0,0,0,0,0,0.0882080833396622,0,0,0,0,0,0,3,7,0,0,0,0,0
47,86229, The One With Barry and Mindy's Wedding,24,2,['ROSS'],2805,13,0.7142857142857143,Man in a Hole,8.179,0,4.138,1.788,0,0,0,0,0,0,0,0,0,0,0.1181711523816521,0,0,0,0,0,0,2,0,0,0,0,0,0
48,86272, The One With The Princess    Leia Fantasy,1,3,"['Geller', 'Janice']",2694,14,0.75,Uncharted,8.429,0,2.1565,1.601,0,0,0,0,0,0,0,0,0,0,0.0983033882350288,452,322,390,285,367,459,3,0,0,0,0,0,0
49,86286, The One Where No One's    Ready,2,3,"['Michelle', 'Whitfield', 'Richard']",36,4,0.0,Rags to Riches,8.61,0,2.1565,2.744,0,0,0,0,0,1,0,1,0,0,-0.3119658119658119,27,0,1,0,4,4,0,0,0,0,0,0,0
